Period End Date,Month,Calendar Year,Fiscal Year,Malt Beverages: # of Barrels,Malt Beverages: Tax on Barrels,Malt Beverages: # of Gallons,Malt Beverages: Tax on Gallons,Malt Beverages: Total Tax,Cider: # of Barrels,Cider: Tax on Barrels,Cider: # of Gallons,Cider: Tax on Gallons,Cider: Total Tax,Wines under 21% Alcohol from Large Wineries: # of Gallons,Wines under 21% Alcohol from Large Wineries: Tax on Gallons,Wines under 21% Alcohol from Small Wineries: # of Gallons,Wines under 21% Alcohol from Small Wineries: Tax on Gallons,Wines over 21% Alcohol & Sparkling Wines: # of Gallons,Wines over 21% Alcohol & Sparkling Wines: Tax on Gallons,Wines:  Total Tax,Distilled Liquor: # of Gallons,Distilled Liquor:  Tax on Gallons,Liquor Cooler: # of Gallons,Liquor Cooler: Tax on Gallons,Alcohol: # of Proof Gallons,Alcohol: Tax on Proof Gallons,Distilled Spirits: Total Tax,Total Alcoholic Beverages Tax
July 2020,July,2020,FY 2021,9629,69329,5227094,1254503,1323831,148,1172,47990,12477,13650,1065363,841637,28162,5632,56467,111805,959074,806711,4791863,67264,182285,6636,39418,5013567,7310121
June 2020,June,2020,FY 2020,6803,48982,5553470,1332833,1381814,151,1196,57331,14906,16102,1064991,841343,32284,6457,69186,136988,984788,703066,4176212,103729,281106,4654,27645,4484962,6867667
May 2020,May,2020,FY 2020,9549,68753,4167130,1000111,1068864,73,578,46485,12086,12664,1036710,819001,24201,4840,62176,123108,946950,647858,3848277,40749,110430,9890,58747,4017453,6045931
April 2020,April,2020,FY 2020,2654,19109,3571190,857086,876194,8,63,41905,10895,10959,930205,734862,17965,3593,49017,97054,835509,524681,3116605,16932,45886,13477,80053,3242544,4965206
March 2020,March,2020,FY 2020,7472,53798,3825376,918090,971889,143,1133,38612,10039,11172,1217011,961439,12043,2409,33854,67031,1030878,611423,3631853,10125,27439,19196,114024,3773316,5787254
February 2020,February,2020,FY 2020,11037,79466,2951438,708345,787812,304,2408,33253,8646,11053,848293,670151,13954,2791,52450,103851,776793,616304,3660846,9030,24471,4373,25976,3711293,5286951
January 2020,January,2020,FY 2020,14135,101772,3853304,924793,1026565,305,2416,30641,7967,10382,1198770,947028,25043,5009,105339,208571,1160608,651090,3867475,10684,28954,5568,33074,3929502,6127058
June 2024,June,2024,FY 2024,11876,71267,4213545,842708,913975,235,1862,49224,12800,14662,844758,667389,21983,4392,74375,147269,819050,771394,4582084,376184,1019458,6433,38213,5639755,7387442
August 2024,August,2024,FY 2025,12335,74012,3967859,793574,867586,234,1854,49547,12885,14739,901605,712287,33765,6747,76354,151188,870222,639172,3796682,343619,931206,6156,36566,4764454,6517001
July 2024,July,2024,FY 2025,11433,68600,4106688,821340,889940,188,1490,46265,12031,13521,812902,642222,24070,4808,53130,105202,752232,758110,4503182,414835,1124204,6125,36382,5663768,7319461
September 2024,September,2024,FY 2025,11448,68696,3298721,659746,728442,266,2108,49128,12773,14881,731861,578191,31436,6281,53133,105208,689680,625480,3715356,211303,572632,6968,41391,4329379,5762382
December 2024,December,2024,FY2025,11166,66999,3319833,663969,730968,203,1609,56403,14665,16274,1033676,816617,22711,4532,115946,229581,1050730,697528,4143317,172106,466407,7843,46588,4656312,6454284
November 2024,November,2024,FY2025,10882,65297,3382171,676435,741732,229,1814,57113,14852,16666,1040886,822315,26449,5281,130598,258592,1086188,775636,4607279,186681,505905,7931,47111,5160295,7004881
October 2024,October,2024,FY2025,12387,74326,3417326,683467,757793,398,3152,68539,17821,20973,1040174,821749,33879,6765,62594,123940,952454,778410,4623761,203836,552395,6726,39953,5216109,6947329
